날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-07-23,159,21.8,21.2,23
2020-07-23,162,22.9,21.6,26.4
2020-07-23,165,23.3,21.4,25.5
2020-07-23,133,21.7,20.8,22.9
2020-07-23,135,20.5,20,21.7
2020-07-23,136,20.3,19.1,21.6
2020-07-23,137,20.5,19.8,21.7
2020-07-23,138,21.5,21,22.1
2020-07-23,140,22.2,20.9,24.7
2020-07-23,143,21.7,21,22.5
2020-07-23,115,21.5,20.4,24.3
2020-07-23,119,21.6,19.7,23.1
2020-07-23,121,20.4,18,22.5
2020-07-23,127,21.1,19.3,22.1
2020-07-23,129,21,20.3,22.1
2020-07-23,130,20.6,19.3,22.3
2020-07-23,131,22.8,21.2,23.8
2020-07-23,102,19.7,18.7,20.9
2020-07-23,104,20.4,18.7,22.7
2020-07-23,105,21.6,19.8,24.1
2020-07-23,106,19.7,18.1,21.6
2020-07-23,108,21.1,18.5,22.6
2020-07-23,112,20.9,18.7,22.4
2020-07-23,114,21.3,19,23.6
2020-07-23,90,21.1,19.2,22.7
2020-07-23,93,21.6,19.3,24.7
2020-07-23,95,20.9,18.2,23.8
2020-07-23,98,20.6,17.3,23.5
2020-07-23,99,20.5,18.2,22.7
2020-07-23,100,16.7,14.5,19.1
2020-07-23,101,21.8,19,24.5
2020-07-23,289,21.8,20.7,22.6
2020-07-23,294,22.1,21,25.3
2020-07-23,295,22.8,21.5,25.8
2020-07-23,278,21.3,20.6,22.4
2020-07-23,279,21.6,20.8,22.8
2020-07-23,281,21,20.3,21.5
2020-07-23,283,21.5,20.8,22.5
2020-07-23,284,21.3,20.4,22.2
2020-07-23,285,22,21.1,23.1
2020-07-23,288,22.6,21.6,23.9
2020-07-23,266,22.4,21.5,23.8
2020-07-23,268,23.8,21.4,26.2
2020-07-23,271,19.8,18.3,20.9
2020-07-23,272,19.8,18,21.1
2020-07-23,273,20.1,18.9,21.5
2020-07-23,276,20.1,19.1,21.9
2020-07-23,277,19.9,18.9,21.3
2020-07-23,258,23.3,22.3,25.9
2020-07-23,259,23.7,22.1,26.2
2020-07-23,260,23.1,21.7,25.4
2020-07-23,261,23.1,21,26.1
2020-07-23,262,22.7,21.4,25.7
2020-07-23,263,22.8,21.9,24.2
2020-07-23,264,21.7,20.7,22.7
2020-07-23,248,20.9,19.8,23.1
2020-07-23,251,22.8,20.7,25.5
2020-07-23,252,22.7,21.1,25.5
2020-07-23,253,22.3,21.7,23.3
2020-07-23,254,22.4,21.2,24.7
2020-07-23,255,24.7,23.6,26.3
2020-07-23,257,22.5,21.7,23.3
2020-07-23,235,22.6,20.8,24.7
2020-07-23,236,21.7,20.7,23.1
2020-07-23,238,21.4,20.4,22.7
2020-07-23,239,21.5,20.6,22.7
2020-07-23,243,22.8,20.9,26
2020-07-23,244,21.2,20.5,22.3
2020-07-23,245,22.8,20.5,25.8
2020-07-23,247,22.5,21.4,24.1
2020-07-23,211,20.7,17.9,25.3
2020-07-23,212,20.7,17.6,23.2
2020-07-23,216,17.8,15.3,19.4
2020-07-23,217,20.3,18.1,22.9
2020-07-23,221,20.1,17.8,22
2020-07-23,226,21,20.2,22.1
2020-07-23,232,21.3,20.2,22.5
2020-07-23,185,24.7,23,25.9
2020-07-23,188,24.6,23,26.7
2020-07-23,189,24.5,22.4,25.7
2020-07-23,192,22.5,21.7,23.7
2020-07-23,201,20.6,18.5,22.4
2020-07-23,202,21.2,19.1,23
2020-07-23,203,20.7,18.3,22.4
2020-07-23,168,22.6,21.5,25.1
2020-07-23,169,21.5,19.2,23.4
2020-07-23,170,23.3,21.8,26.9
2020-07-23,172,22.7,21.1,25.6
2020-07-23,174,22.3,21.3,24.5
2020-07-23,177,21.3,20.6,22.4
2020-07-23,184,26.5,23.6,30.5
2020-07-23,146,22.4,20.8,24.9
2020-07-23,152,21.5,20.8,22.7
2020-07-23,155,22.3,21.5,24.7
2020-07-23,156,22.8,21.5,25
2020-07-24,159,21.6,20.1,24.1
2020-07-24,162,21.6,20.1,23.2
2020-07-24,165,20.6,19.8,21.4
2020-07-24,133,21.6,20.1,24.2
2020-07-24,135,20,19,21.7
2020-07-24,136,21.1,19.2,24
2020-07-24,137,20.2,19,22.8
2020-07-24,138,23.1,21,26.4
2020-07-24,140,21.7,20.7,23.9
2020-07-24,143,21.3,20.2,23
2020-07-24,115,20.4,18,21.8
2020-07-24,119,23.3,20.3,27.2
2020-07-24,121,20.7,18.1,23.6
2020-07-24,127,21.8,19.2,24.2
2020-07-24,129,21.7,18.8,24.3
2020-07-24,130,20.7,18.9,22.6
2020-07-24,131,22.3,19.8,25.7
2020-07-24,102,20.5,18.2,22.9
2020-07-24,104,19.6,17.7,20.8
2020-07-24,105,20.5,18.3,22
2020-07-24,106,19.6,17.1,21.1
2020-07-24,108,22.5,18.7,26.8
2020-07-24,112,22.4,18.9,25.9
2020-07-24,114,21.8,18.5,25.3
2020-07-24,90,19.8,18.3,20.8
2020-07-24,93,22.8,18.4,25.8
2020-07-24,95,21.6,18.2,25.9
2020-07-24,98,21.9,17.3,25.5
2020-07-24,99,21.6,18.2,26.5
2020-07-24,100,16.7,14.1,18.1
2020-07-24,101,22.2,18.7,24.7
2020-07-24,289,20.3,19.5,22.4
2020-07-24,294,21.2,20,23.2
2020-07-24,295,21.4,20.1,23.7
2020-07-24,278,21.4,19.8,24.7
2020-07-24,279,21.1,19.9,23.3
2020-07-24,281,21.2,20,23.6
2020-07-24,283,22.3,20.2,25.6
2020-07-24,284,20.6,19.5,21.8
2020-07-24,285,21,19.9,22.1
2020-07-24,288,21.5,19.9,23.2
2020-07-24,266,20.8,19.8,22.8
2020-07-24,268,20.7,19.7,22
2020-07-24,271,20,18.3,22.7
2020-07-24,272,19.6,17.8,22.4
2020-07-24,273,20.1,18.7,22.1
2020-07-24,276,20.2,18.8,23.4
2020-07-24,277,21.1,19,24.1
2020-07-24,258,21.8,20.7,23
2020-07-24,259,21.1,20.2,22.5
2020-07-24,260,20.9,20,22.2
2020-07-24,261,20.2,19.4,21.3
2020-07-24,262,21,19.9,22.3
2020-07-24,263,21.7,20.4,24.4
2020-07-24,264,21,19.8,22.4
2020-07-24,248,19.8,18.9,20.7
2020-07-24,251,21.3,20.2,23.7
2020-07-24,252,21.1,19.7,23.6
2020-07-24,253,21.4,20.1,23.3
2020-07-24,254,20.9,19.9,23.1
2020-07-24,255,23.2,22.1,25.3
2020-07-24,257,22.3,20.6,25.5
2020-07-24,236,21.4,20,24.4
2020-07-24,238,21.3,19.7,23.4
2020-07-24,239,21.2,19.4,23.5
2020-07-24,243,21.6,20.3,23.1
2020-07-24,244,20.2,19.3,21.5
2020-07-24,245,21.5,20.1,23.3
2020-07-24,247,20.9,19.9,23.7
2020-07-24,211,20.4,18.1,23
2020-07-24,212,21.5,17.6,26.2
2020-07-24,216,17.4,15.4,19.7
2020-07-24,217,20.6,18.6,24
2020-07-24,221,20.9,17.7,22.5
2020-07-24,226,20.8,19.1,23
2020-07-24,232,21.4,19.1,24.3
2020-07-24,235,21.9,20.6,24.6
2020-07-24,185,21.9,20.8,24.1
2020-07-24,188,23.7,21.3,26.8
2020-07-24,189,21.5,20.1,23.6
2020-07-24,192,21.1,20,22.7
2020-07-24,201,22.1,18.5,26.9
2020-07-24,202,23,19.4,26.3
